color_hex,shape,sound,label
#F2C304,shape_4,sound_4,happy
#F8D120,shape_1,sound_10,happy
#FDD00C,shape_4,sound_2,happy
#FDE422,shape_2,sound_2,happy
#F1D60E,shape_4,sound_4,happy
#172175,shape_1,sound_7,sad
#15204F,shape_2,sound_6,sad
#2F5D86,shape_1,sound_8,sad
#16497C,shape_5,sound_7,sad
#313758,shape_5,sound_7,sad
#495E7D,shape_5,sound_7,sad
#1C2745,shape_1,sound_7,sad
#194387,shape_1,sound_7,sad
#2D5886,shape_5,sound_8,sad
#2C537C,shape_1,sound_7,sad
#202753,shape_7,sound_7,sad
#273056,shape_7,sound_8,sad
#294763,shape_2,sound_7,sad
#172853,shape_7,sound_7,sad
#22426B,shape_7,sound_7,sad
#1F2C46,shape_5,sound_8,sad
#151837,shape_5,sound_6,sad
#1C2039,shape_5,sound_8,sad
#405D71,shape_5,sound_6,sad
#1B3663,shape_1,sound_7,sad
#1E2234,shape_1,sound_7,sad
#345579,shape_7,sound_7,sad
#142450,shape_2,sound_6,sad
#12314C,shape_5,sound_6,sad
#224661,shape_1,sound_7,sad
#16263D,shape_7,sound_7,sad
#0E1E37,shape_7,sound_8,sad
#133657,shape_1,sound_8,sad
#0F1E3C,shape_7,sound_8,sad
#1F3B61,shape_5,sound_6,sad
#0B144D,shape_5,sound_8,sad
#242948,shape_7,sound_6,sad
#162635,shape_7,sound_8,sad
#3D4867,shape_2,sound_8,sad
#16406D,shape_1,sound_6,sad
#0C2552,shape_1,sound_8,sad
#1D3855,shape_1,sound_8,sad
#384B5F,shape_1,sound_6,sad
#234371,shape_1,sound_8,sad
#50558A,shape_7,sound_6,sad
#2A4165,shape_2,sound_8,sad
#0F133B,shape_2,sound_6,sad
#091B33,shape_7,sound_8,sad
#445B74,shape_5,sound_6,sad
#4F5F86,shape_7,sound_8,sad
#132376,shape_7,sound_8,sad
#293268,shape_5,sound_8,sad
#304F7D,shape_5,sound_6,sad
#445971,shape_7,sound_8,sad
#1E3B70,shape_5,sound_6,sad
#1A2472,shape_2,sound_6,sad
#0C1453,shape_1,sound_6,sad
#2F4C6C,shape_7,sound_6,sad
#3E5F7F,shape_7,sound_6,sad
#3E4B7E,shape_2,sound_6,sad
#102651,shape_2,sound_8,sad
#192165,shape_1,sound_8,sad
#193651,shape_5,sound_6,sad
#222744,shape_2,sound_8,sad
#33455C,shape_7,sound_8,sad
#2A537E,shape_1,sound_8,sad
#19286B,shape_5,sound_6,sad
#16548A,shape_2,sound_6,sad
#356488,shape_1,sound_8,sad
#293E6E,shape_7,sound_8,sad
#171D45,shape_7,sound_8,sad
#171F69,shape_5,sound_8,sad
#2D547B,shape_1,sound_6,sad
#151E6D,shape_5,sound_6,sad
#1D3851,shape_2,sound_8,sad
#13375B,shape_5,sound_6,sad
#181F49,shape_2,sound_6,sad
#182336,shape_2,sound_6,sad
#0C1644,shape_5,sound_8,sad
#12273A,shape_5,sound_6,sad
#164085,shape_2,sound_8,sad
#414A79,shape_7,sound_8,sad
#0E195C,shape_5,sound_8,sad
#212E3D,shape_1,sound_8,sad
#103E60,shape_7,sound_8,sad
#19346B,shape_1,sound_8,sad
#213278,shape_1,sound_8,sad
#365282,shape_5,sound_6,sad
#303959,shape_5,sound_6,sad
#212C3F,shape_2,sound_6,sad
#3C6281,shape_7,sound_8,sad
#1A2A83,shape_5,sound_6,sad
#2E5879,shape_5,sound_8,sad
#13293E,shape_2,sound_8,sad
#4C5686,shape_8,sound_6,sad
#2E3A62,shape_2,sound_6,sad
#131F3F,shape_7,sound_6,sad
#4B6089,shape_1,sound_8,sad
#0D1E48,shape_5,sound_6,sad
#1C5483,shape_5,sound_8,sad
#0F1C40,shape_7,sound_8,sad
#3A4063,shape_7,sound_8,sad
#132A74,shape_7,sound_6,sad
#18348C,shape_5,sound_8,sad
#2D4C69,shape_7,sound_8,sad
#111B3F,shape_5,sound_8,sad
#20456D,shape_2,sound_6,sad
#202A3A,shape_1,sound_6,sad
#1D2640,shape_2,sound_6,sad
#335272,shape_7,sound_6,sad
#2F4688,shape_2,sound_6,sad
#1B2137,shape_2,sound_6,sad
#0C153C,shape_5,sound_6,sad
#112E52,shape_1,sound_6,sad
#141B4F,shape_2,sound_8,sad
#232F55,shape_2,sound_8,sad
#172239,shape_5,sound_6,sad
#3E6081,shape_5,sound_6,sad
#1E2E4C,shape_7,sound_8,sad
#1D243A,shape_1,sound_6,sad
#294574,shape_7,sound_6,sad
#343D5D,shape_5,sound_6,sad
#0F2841,shape_7,sound_8,sad
#1F3C78,shape_1,sound_8,sad
#212F4F,shape_7,sound_6,sad
#3D4377,shape_5,sound_6,sad
#0E1740,shape_7,sound_8,sad
#1C344B,shape_2,sound_8,sad
#333B7D,shape_1,sound_6,sad
#212C38,shape_7,sound_8,sad
#1B3666,shape_2,sound_6,sad
#2B3451,shape_6,sound_8,sad
#4A5E80,shape_5,sound_8,sad
#192347,shape_1,sound_6,sad
#293F70,shape_1,sound_8,sad
#3C4266,shape_5,sound_6,sad
#1F4E79,shape_5,sound_6,sad
#2C455F,shape_5,sound_6,sad
#435E86,shape_5,sound_6,sad
#2D3C7B,shape_5,sound_6,sad
#1F2E3F,shape_7,sound_6,sad
#1F2964,shape_7,sound_8,sad
#30425C,shape_2,sound_6,sad
#152938,shape_5,sound_8,sad
#33537E,shape_7,sound_6,sad
#1E2650,shape_2,sound_8,sad
#124278,shape_4,sound_6,sad
#2F3D6E,shape_2,sound_6,sad
#1E5080,shape_5,sound_6,sad
#101B3E,shape_5,sound_6,sad
#223053,shape_2,sound_6,sad
#2F4965,shape_1,sound_8,sad
#141A54,shape_7,sound_8,sad
#234B74,shape_7,sound_6,sad
#182A5F,shape_2,sound_6,sad
#1F3D77,shape_7,sound_6,sad
#364B8B,shape_7,sound_8,sad
#315C82,shape_2,sound_8,sad
#192634,shape_1,sound_6,sad
#17226E,shape_1,sound_6,sad
#172039,shape_7,sound_6,sad
#225885,shape_1,sound_8,sad
#1D2C7E,shape_2,sound_6,sad
#163B7A,shape_2,sound_8,sad
#31557F,shape_7,sound_6,sad
#34495C,shape_1,sound_6,sad
#1D3353,shape_5,sound_6,sad
#0E1B40,shape_7,sound_8,sad
#0E283E,shape_7,sound_6,sad
#243079,shape_5,sound_8,sad
#1E4A84,shape_2,sound_8,sad
#34547F,shape_5,sound_6,sad
#1E2E87,shape_1,sound_6,sad
#243D6B,shape_5,sound_8,sad
#2B3351,shape_2,sound_8,sad
#405775,shape_1,sound_6,sad
#223A4D,shape_5,sound_8,sad
#293A4A,shape_7,sound_6,sad
#263781,shape_3,sound_8,sad
#1A2665,shape_7,sound_6,sad
#09253D,shape_7,sound_6,sad
#142140,shape_5,sound_6,sad
#2F445A,shape_1,sound_8,sad
#192F59,shape_5,sound_6,sad
#162635,shape_1,sound_6,sad
#2A4A61,shape_2,sound_8,sad
#214876,shape_5,sound_8,sad
#3F5876,shape_2,sound_6,sad
#1B224E,shape_7,sound_6,sad
#0F2541,shape_2,sound_8,sad
#172943,shape_2,sound_8,sad
#3D4373,shape_1,sound_6,sad
#141F60,shape_2,sound_6,sad
#0F243B,shape_7,sound_6,sad
#21254C,shape_2,sound_6,sad
#0C1738,shape_7,sound_8,sad
#222744,shape_5,sound_8,sad
#162839,shape_2,sound_6,sad
#204A6D,shape_5,sound_8,sad
#2D3E51,shape_5,sound_6,sad
#14457E,shape_7,sound_6,sad
#2E4865,shape_1,sound_8,sad
#4C6587,shape_7,sound_8,sad
#19324C,shape_5,sound_6,sad
#263062,shape_7,sound_8,sad
#902B30,shape_6,sound_9,angry
#ED3425,shape_6,sound_5,angry
#7D131E,shape_3,sound_3,angry
#872E1D,shape_9,sound_3,angry
#A80413,shape_6,sound_7,angry
#9C121B,shape_3,sound_7,angry
#A61C1E,shape_9,sound_5,angry
#83221C,shape_6,sound_7,angry
#CB0F2B,shape_2,sound_9,angry
#721302,shape_2,sound_9,angry
#BC3421,shape_3,sound_7,angry
#C42D45,shape_9,sound_3,angry
#BB2A39,shape_2,sound_7,angry
#730F1F,shape_9,sound_7,angry
#C63B28,shape_2,sound_9,angry
#D82943,shape_6,sound_7,angry
#971A15,shape_6,sound_3,angry
#D33939,shape_3,sound_7,angry
#730A0A,shape_2,sound_9,angry
#EB4E40,shape_6,sound_7,angry
#78080E,shape_2,sound_7,angry
#730707,shape_6,sound_7,angry
#8B271B,shape_3,sound_5,angry
#841B12,shape_9,sound_3,angry
#722A1E,shape_9,sound_7,angry
#7D1D2A,shape_2,sound_7,angry
#8C1C1B,shape_10,sound_7,angry
#B23330,shape_6,sound_3,angry
#940A0E,shape_2,sound_9,angry
#972826,shape_2,sound_7,angry
#902727,shape_9,sound_7,angry
#A8212A,shape_2,sound_9,angry
#792126,shape_6,sound_9,angry
#751717,shape_4,sound_5,angry
#891D14,shape_9,sound_3,angry
#C02F28,shape_7,sound_3,angry
#7E0112,shape_3,sound_5,angry
#A03320,shape_2,sound_3,angry
#72181E,shape_5,sound_5,angry
#E42B38,shape_9,sound_5,angry
#85211C,shape_6,sound_9,angry
#811D29,shape_2,sound_5,angry
#EE4832,shape_6,sound_5,angry
#E8211F,shape_10,sound_5,angry
#7B1F0D,shape_6,sound_5,angry
#981622,shape_3,sound_5,angry
#C51816,shape_2,sound_5,angry
#C92606,shape_9,sound_5,angry
#E13046,shape_6,sound_3,angry
#9E1A1A,shape_3,sound_9,angry
#A01E2D,shape_9,sound_5,angry
#CD1F32,shape_2,sound_9,angry
#D80A09,shape_3,sound_9,angry
#E8434C,shape_6,sound_3,angry
#D02B26,shape_2,sound_3,angry
#C6391D,shape_6,sound_9,angry
#BA374C,shape_6,sound_3,angry
#9E0301,shape_9,sound_3,angry
#A8293D,shape_2,sound_5,angry
#AD2A11,shape_2,sound_3,angry
#941612,shape_9,sound_5,angry
#E05036,shape_9,sound_3,angry
#DD2A0D,shape_2,sound_5,angry
#EF221D,shape_2,sound_3,angry
#EA201E,shape_6,sound_9,angry
#D71B38,shape_9,sound_9,angry
#DA403D,shape_6,sound_3,angry
#99190F,shape_2,sound_9,angry
#D8361B,shape_2,sound_9,angry
#731724,shape_2,sound_9,angry
#E00817,shape_6,sound_3,angry
#B31E2E,shape_2,sound_9,angry
#EE4047,shape_6,sound_5,angry
#D3394C,shape_9,sound_9,angry
#DD0A10,shape_9,sound_5,angry
#A5060D,shape_9,sound_3,angry
#9E0006,shape_3,sound_9,angry
#EE4654,shape_2,sound_5,angry
#A02B16,shape_3,sound_9,angry
#D8050F,shape_3,sound_3,angry
#DA4331,shape_2,sound_3,angry
#DD191D,shape_2,sound_3,angry
#E12A39,shape_9,sound_3,angry
#7A070C,shape_9,sound_5,angry
#9F2714,shape_2,sound_5,angry
#9B1B0D,shape_6,sound_9,angry
#751625,shape_2,sound_9,angry
#C81D32,shape_3,sound_5,angry
#D84234,shape_2,sound_9,angry
#7A1706,shape_2,sound_9,angry
#901F22,shape_2,sound_3,angry
#7A1712,shape_3,sound_5,angry
#E41A26,shape_9,sound_9,angry
#EC1D2C,shape_9,sound_5,angry
#A91529,shape_3,sound_5,angry
#E2463D,shape_9,sound_9,angry
#BE1722,shape_2,sound_5,angry
#C43437,shape_3,sound_9,angry
#DB3750,shape_2,sound_9,angry
#940C1D,shape_3,sound_3,angry
#7E150A,shape_3,sound_5,angry
#870318,shape_9,sound_5,angry
#820E10,shape_2,sound_5,angry
#DE3127,shape_9,sound_5,angry
#AF3A2E,shape_3,sound_5,angry
#A53A29,shape_9,sound_3,angry
#A01D2E,shape_9,sound_3,angry
#D63D33,shape_5,sound_9,angry
#E72F2C,shape_9,sound_9,angry
#F13449,shape_2,sound_5,angry
#B92514,shape_3,sound_5,angry
#E9334D,shape_9,sound_9,angry
#7A020E,shape_6,sound_9,angry
#AF2C17,shape_6,sound_3,angry
#811817,shape_4,sound_3,angry
#BB432B,shape_6,sound_5,angry
#83202A,shape_2,sound_3,angry
#EC4258,shape_9,sound_9,angry
#AB0406,shape_3,sound_5,angry
#D60721,shape_3,sound_3,angry
#F02D28,shape_3,sound_3,angry
#800011,shape_2,sound_5,angry
#A70A1C,shape_9,sound_3,angry
#7D0213,shape_6,sound_5,angry
#BD1222,shape_2,sound_9,angry
#7F2413,shape_2,sound_5,angry
#C82E10,shape_6,sound_5,angry
#930406,shape_6,sound_3,angry
#B04532,shape_9,sound_3,angry
#C22D3C,shape_6,sound_3,angry
#750A06,shape_3,sound_5,angry
#B21D0A,shape_6,sound_5,angry
#EF3721,shape_3,sound_3,angry
#8C1911,shape_2,sound_5,angry
#E40307,shape_3,sound_9,angry
#EB180A,shape_3,sound_9,angry
#960F1F,shape_6,sound_9,angry
#980006,shape_6,sound_3,angry
#D62F3A,shape_6,sound_9,angry
#7A3023,shape_9,sound_3,angry
#E6314F,shape_2,sound_3,angry
#CE323F,shape_3,sound_3,angry
#AB190D,shape_2,sound_9,angry
#AD0016,shape_6,sound_9,angry
#E2364B,shape_6,sound_5,angry
#86090F,shape_6,sound_3,angry
#AF2518,shape_6,sound_9,angry
#7D0A0A,shape_3,sound_3,angry
#8E2A21,shape_9,sound_3,angry
#86111F,shape_6,sound_3,angry
#8C1A17,shape_3,sound_3,angry
#A73522,shape_2,sound_9,angry
#A80C08,shape_6,sound_3,angry
#AE343E,shape_3,sound_9,angry
#7C0B14,shape_1,sound_9,angry
#C20B0B,shape_2,sound_9,angry
#F1161A,shape_6,sound_3,angry
#D41901,shape_6,sound_9,angry
#7E2426,shape_6,sound_9,angry
#951104,shape_2,sound_5,angry
#BB280B,shape_6,sound_9,angry
#D51823,shape_9,sound_3,angry
#BC341A,shape_6,sound_3,angry
#8C251E,shape_2,sound_5,angry
#BE2B3B,shape_9,sound_9,angry
#731F13,shape_9,sound_3,angry
#7F212C,shape_6,sound_3,angry
#782622,shape_3,sound_9,angry
#CC1B2E,shape_3,sound_9,angry
#87141B,shape_6,sound_3,angry
#AF2639,shape_3,sound_5,angry
#AF020D,shape_3,sound_9,angry
#B23E2A,shape_2,sound_5,angry
#892432,shape_3,sound_9,angry
#D93C44,shape_2,sound_3,angry
#B90305,shape_6,sound_3,angry
#73030E,shape_3,sound_3,angry
#81141F,shape_9,sound_5,angry
#E41218,shape_3,sound_3,angry
#9B2A36,shape_2,sound_3,angry
#CF1D02,shape_2,sound_5,angry
#F04744,shape_6,sound_9,angry
#961921,shape_9,sound_5,angry
#B23D28,shape_6,sound_5,angry
#DB4059,shape_3,sound_9,angry
#A54131,shape_3,sound_5,angry
#A6050A,shape_9,sound_5,angry
#821119,shape_3,sound_5,angry
#CA0604,shape_6,sound_5,angry
#AC1403,shape_2,sound_9,angry
#802B21,shape_2,sound_3,angry
#AE0F00,shape_2,sound_3,angry
#8E1B17,shape_2,sound_5,angry
#740301,shape_3,sound_5,angry
#820D03,shape_6,sound_5,angry
#A0322A,shape_6,sound_3,angry
#8C0505,shape_2,sound_9,angry
#A30205,shape_2,sound_5,angry
#BE3339,shape_9,sound_3,angry
#CB0F21,shape_9,sound_9,angry
#567353,shape_4,sound_2,calm
#92C775,shape_5,sound_7,calm
#5BBC69,shape_5,sound_4,calm
#5E8E61,shape_5,sound_7,calm
#72B186,shape_5,sound_4,calm
#5C9650,shape_1,sound_7,calm
#71AD73,shape_1,sound_2,calm
#73A282,shape_8,sound_2,calm
#3A783D,shape_1,sound_7,calm
#6F997B,shape_7,sound_1,calm
#98C1A5,shape_7,sound_1,calm
#718665,shape_4,sound_2,calm
#437644,shape_4,sound_7,calm
#7B9A72,shape_1,sound_7,calm
#83B668,shape_1,sound_1,calm
#94C775,shape_4,sound_6,calm
#78AA76,shape_7,sound_7,calm
#527C5F,shape_1,sound_7,calm
#65946C,shape_4,sound_7,calm
#659350,shape_1,sound_7,calm
#8FC371,shape_5,sound_7,calm
#54795A,shape_1,sound_4,calm
#7FB07C,shape_7,sound_7,calm
#517356,shape_7,sound_7,calm
#7FC574,shape_5,sound_1,calm
#587A57,shape_5,sound_7,calm
#6BB574,shape_5,sound_7,calm
#98C87E,shape_1,sound_7,calm
#367844,shape_1,sound_6,calm
#78916F,shape_1,sound_4,calm
#69954F,shape_5,sound_2,calm
#649266,shape_5,sound_1,calm
#78B88C,shape_5,sound_6,calm
#6FAA76,shape_4,sound_6,calm
#7AC484,shape_7,sound_6,calm
#8AB688,shape_7,sound_4,calm
#77AB8A,shape_7,sound_4,calm
#9CC5A6,shape_5,sound_1,calm
#86B17E,shape_1,sound_4,calm
#87B46A,shape_4,sound_1,calm
#4F7351,shape_7,sound_4,calm
#93B083,shape_4,sound_6,calm
#759A67,shape_4,sound_1,calm
#638C6C,shape_1,sound_6,calm
#637F68,shape_4,sound_1,calm
#75A95D,shape_7,sound_2,calm
#71B87D,shape_5,sound_1,calm
#7FC75C,shape_7,sound_4,calm
#61A673,shape_4,sound_6,calm
#85B165,shape_5,sound_1,calm
#509F4E,shape_4,sound_1,calm
#63BB6B,shape_1,sound_2,calm
#64CA80,shape_7,sound_6,calm
#6C856A,shape_7,sound_4,calm
#489363,shape_4,sound_4,calm
#6FC07A,shape_1,sound_6,calm
#9FC9AE,shape_7,sound_2,calm
#527C59,shape_1,sound_6,calm
#6ABA6C,shape_5,sound_1,calm
#588269,shape_5,sound_2,calm
#94C78F,shape_4,sound_1,calm
#86AA8E,shape_8,sound_2,calm
#789B86,shape_7,sound_2,calm
#587C4B,shape_4,sound_4,calm
#70A75F,shape_4,sound_4,calm
#A0C48E,shape_7,sound_2,calm
#84C274,shape_1,sound_6,calm
#819F7C,shape_4,sound_6,calm
#6FBF69,shape_5,sound_2,calm
#598B58,shape_5,sound_4,calm
#5C8A4F,shape_5,sound_2,calm
#7EC387,shape_4,sound_4,calm
#588660,shape_7,sound_1,calm
#55755E,shape_3,sound_2,calm
#6BBC80,shape_4,sound_2,calm
#528845,shape_1,sound_6,calm
#69A567,shape_7,sound_2,calm
#869F78,shape_7,sound_2,calm
#7F9B7A,shape_4,sound_4,calm
#54875E,shape_1,sound_6,calm
#789F77,shape_2,sound_6,calm
#80B967,shape_5,sound_4,calm
#76A77A,shape_1,sound_4,calm
#528940,shape_1,sound_4,calm
#6FBC7D,shape_1,sound_4,calm
#6C9F62,shape_4,sound_4,calm
#6C8D70,shape_5,sound_2,calm
#5B9256,shape_1,sound_4,calm
#6EA67A,shape_4,sound_2,calm
#6C9963,shape_4,sound_1,calm
#78B27E,shape_5,sound_1,calm
#4E7544,shape_7,sound_4,calm
#96C476,shape_4,sound_4,calm
#94B788,shape_5,sound_6,calm
#448251,shape_5,sound_1,calm
#377349,shape_4,sound_4,calm
#468144,shape_5,sound_4,calm
#97C07D,shape_1,sound_4,calm
#6DAF83,shape_5,sound_6,calm
#4D945F,shape_4,sound_1,calm
#678B55,shape_7,sound_2,calm
#68B762,shape_1,sound_1,calm
#469849,shape_5,sound_6,calm
#6BB27B,shape_4,sound_6,calm
#56A05B,shape_5,sound_4,calm
#95C38D,shape_1,sound_4,calm
#698368,shape_4,sound_6,calm
#96C872,shape_1,sound_4,calm
#4B875E,shape_7,sound_6,calm
#397345,shape_10,sound_4,calm
#5D8267,shape_7,sound_1,calm
#78C461,shape_1,sound_4,calm
#5C7C46,shape_1,sound_1,calm
#4E8140,shape_1,sound_6,calm
#617D50,shape_1,sound_6,calm
#A0CA98,shape_4,sound_1,calm
#5E8A6B,shape_5,sound_2,calm
#71907A,shape_5,sound_4,calm
#447456,shape_7,sound_4,calm
#62A675,shape_7,sound_1,calm
#748F69,shape_7,sound_1,calm
#70916A,shape_1,sound_2,calm
#86BC7C,shape_4,sound_2,calm
#77906D,shape_7,sound_4,calm
#519469,shape_7,sound_1,calm
#449049,shape_5,sound_2,calm
#55B477,shape_5,sound_1,calm
#72AE55,shape_1,sound_6,calm
#7FBA6E,shape_5,sound_2,calm
#8DB197,shape_4,sound_6,calm
#60C27F,shape_1,sound_6,calm
#8DC793,shape_5,sound_4,calm
#5F7D5E,shape_10,sound_2,calm
#5E775C,shape_1,sound_6,calm
#7AAB88,shape_1,sound_2,calm
#4C7954,shape_4,sound_2,calm
#649F72,shape_1,sound_6,calm
